test_id,message_length,sha256_bits_changed,esha256_bits_changed
1490,49,131,138
1491,50,119,131
1492,51,126,118
1493,52,129,129
1494,53,123,129
1495,54,135,132
1496,55,140,130
1497,56,136,124
1498,57,126,116
1499,58,119,147
1500,59,127,132
1501,60,137,127
1502,61,136,117
1503,62,130,154
1504,63,130,121
1505,64,113,119
1506,65,111,138
1507,66,126,116
1508,67,123,119
1509,68,129,130
1510,69,122,131
1511,70,127,134
1512,71,119,120
1513,72,135,117
1514,73,113,129
1515,74,125,129
1516,75,134,135
1517,76,118,128
1518,77,129,125
1519,78,131,131
1520,79,123,125
1521,80,125,133
1522,81,137,119
1523,82,125,145
1524,83,105,128
1525,84,129,135
1526,85,122,139
1527,86,134,117
1528,87,133,123
1529,88,133,135
1530,89,132,130
1531,90,134,137
1532,91,118,126
1533,92,133,121
1534,93,132,121
1535,94,119,141
1536,95,117,126
1537,96,124,127
1538,97,120,117
1539,98,136,135
1540,99,127,130
1541,100,136,125
1542,101,130,133
1543,102,127,132
1544,103,125,122
1545,104,127,126
1546,105,132,116
1547,106,120,127
1548,107,135,131
1549,108,135,128
1550,109,130,149
1551,110,128,134
1552,111,130,137
1553,112,125,136
1554,113,126,125
1555,114,137,135
1556,115,128,120
1557,116,121,133
1558,117,122,134
1559,118,136,132
1560,119,125,115
1561,120,133,117
1562,121,119,129
1563,122,130,127
1564,123,114,117
1565,124,135,135
1566,125,127,124
1567,126,122,129
1568,127,128,122
1569,16,128,114
1570,17,136,127
1571,18,120,128
1572,19,118,136
1573,20,126,129
1574,21,116,136
1575,22,124,128
1576,23,127,122
1577,24,125,123
1578,25,125,116
1579,26,135,125
1580,27,133,136
1581,28,122,134
1582,29,115,119
1583,30,130,129
1584,31,120,126
1585,32,117,125
1586,33,111,129
1587,34,126,142
1588,35,127,129
1589,36,122,126
1590,37,132,117
1591,38,133,130
1592,39,119,126
1593,40,122,133
1594,41,130,117
1595,42,124,129
1596,43,129,131
1597,44,124,132
1598,45,123,139
1599,46,126,128
1600,47,138,130
1601,48,134,129
1602,49,132,120
1603,50,136,135
1604,51,117,122
1605,52,131,124
1606,53,119,128
1607,54,119,134
1608,55,123,130
1609,56,123,126
1610,57,123,118
1611,58,135,115
1612,59,139,141
1613,60,128,131
1614,61,130,133
1615,62,125,136
1616,63,127,145
1617,64,132,140
1618,65,129,122
1619,66,127,128
1620,67,136,127
1621,68,124,136
1622,69,131,134
1623,70,119,124
1624,71,124,138
1625,72,130,123
1626,73,127,115
1627,74,127,133
1628,75,131,150
1629,76,127,129
1630,77,129,129
1631,78,122,132
1632,79,138,142
1633,80,137,108
1634,81,121,137
1635,82,123,125
1636,83,123,128
1637,84,126,119
1638,85,132,139
1639,86,120,109
1640,87,122,126
1641,88,134,131
1642,89,119,139
1643,90,130,123
1644,91,120,139
1645,92,138,128
1646,93,129,120
1647,94,120,124
